video_path,frame_path,keypoints_path,mp4_path,n_frames,n_json,frames_done,sapiens_done,reextract_done,overlay_done,use_video,is_val
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Biceps Curl1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Biceps Curl1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Biceps Curl1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Biceps Curl1.mp4,361.0,361.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Biceps Curl2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Biceps Curl2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Biceps Curl2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Biceps Curl2.mp4,288.0,288.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Biceps Curl3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Biceps Curl3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Biceps Curl3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Biceps Curl3.mp4,2432.0,2432.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Extension1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Extension1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Extension1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Extension1.mp4,351.0,351.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Extension2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Extension2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Extension2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Extension2.mp4,293.0,293.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Extension3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Extension3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Extension3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Extension3.mp4,320.0,320.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension1.mp4,341.0,341.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension2.mp4,378.0,378.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension3.mp4,332.0,332.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair1.mp4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair1.mp4,320.0,320.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_Wheelchair2.mp4,321.0,321.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable1.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable1.mp4,647.0,647.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable2.mp4,379.0,379.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_bobathtable3.mp4,346.0,346.0,True,True,True,True,False,False
